coin_id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
tether,usdt,Tether
ripple,xrp,XRP
binancecoin,bnb,BNB
usd-coin,usdc,USDC
solana,sol,Solana
tron,trx,TRON
figure-heloc,figr_heloc,Figure Heloc
dogecoin,doge,Dogecoin
whitebit,wbt,WhiteBIT Coin
usds,usds,USDS
hyperliquid,hype,Hyperliquid
leo-token,leo,LEO Token
cardano,ada,Cardano
bitcoin-cash,bch,Bitcoin Cash
memecore,m,MemeCore
chainlink,link,Chainlink
monero,xmr,Monero
stellar,xlm,Stellar
canton-network,cc,Canton
zcash,zec,Zcash
ethena-usde,usde,Ethena USDe
dai,dai,Dai
litecoin,ltc,Litecoin
usd1-wlfi,usd1,USD1
avalanche-2,avax,Avalanche
hedera-hashgraph,hbar,Hedera
sui,sui,Sui
paypal-usd,pyusd,PayPal USD
rain,rain,Rain
shiba-inu,shib,Shiba Inu
the-open-network,ton,Toncoin
crypto-com-chain,cro,Cronos
hashnote-usyc,usyc,Circle USYC
tether-gold,xaut,Tether Gold
world-liberty-financial,wlfi,World Liberty Financial
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund
bittensor,tao,Bittensor
pax-gold,paxg,PAX Gold
global-dollar,usdg,Global Dollar
polkadot,dot,Polkadot
mantle,mnt,Mantle
uniswap,uni,Uniswap
sky,sky,Sky
near,near,NEAR Protocol
falcon-finance,usdf,Falcon USD
okb,okb,OKB
pi-network,pi,Pi Network
aster-2,aster,Aster
htx-dao,htx,HTX DAO
pepe,pepe,Pepe
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund
ripple-usd,rlusd,Ripple USD
aave,aave,Aave
internet-computer,icp,Internet Computer
bitget-token,bgb,Bitget Token
ethereum-classic,etc,Ethereum Classic
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield
bfusd,bfusd,BFUSD
usdd,usdd,USDD
ondo-finance,ondo,Ondo
kucoin-shares,kcs,KuCoin
gatechain-token,gt,Gate
pump-fun,pump,Pump.fun
quant-network,qnt,Quant
morpho,morpho,Morpho
united-stables,u,United Stables
eutbl,eutbl,Spiko EU T-Bills Money Market Fund
polygon-ecosystem-token,pol,POL (ex-MATIC)
ethena,ena,Ethena
kaspa,kas,Kaspa
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB)
render-token,render,Render
algorand,algo,Algorand
cosmos,atom,Cosmos Hub
nexo,nexo,NEXO
usdtb,usdtb,USDtb
worldcoin-wld,wld,Worldcoin
arbitrum,arb,Arbitrum
aptos,apt,Aptos
blockchain-capital,bcap,Blockchain Capital
filecoin,fil,Filecoin
flare-networks,flr,Flare
just,jst,JUST
official-trump,trump,Official Trump
dexe,dexe,DeXe
hash-2,hash,Provenance Blockchain
beldex,bdx,Beldex
vechain,vet,VeChain
midnight-3,night,Midnight
jupiter-exchange-solana,jup,Jupiter
xdce-crowd-sale,xdc,XDC Network
ousg,ousg,OUSG
stable-2,stable,​​Stable
ylds,ylds,YLDS
gho,gho,GHO
usual-usd,usd0,Usual USD
bonk,bonk,Bonk
bianrensheng,币安人生,币安人生 (BinanceLife)
siren-2,siren,Siren
pancakeswap-token,cake,PancakeSwap
true-usd,tusd,TrueUSD
chiliz,chz,Chiliz
pudgy-penguins,pengu,Pudgy Penguins
a7a5,a7a5,A7A5
fetch-ai,fet,Artificial Superintelligence Alliance
edgex,edge,edgeX
virtual-protocol,virtual,Virtuals Protocol
adi-token,adi,ADI
dash,dash,Dash
ravedao,rave,RaveDAO
venice-token,vvv,Venice Token
euro-coin,eurc,EURC
first-digital-usd,fdusd,First Digital USD
blockstack,stx,Stacks
layerzero,zro,LayerZero
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund
tezos,xtz,Tezos
monad,mon,Monad
ether-fi,ethfi,Ether.fi
sei-network,sei,Sei
usx,usx,USX
kinesis-gold,kau,Kinesis Gold
hastra-prime,prime,PRIME
aerodrome-finance,aero,Aerodrome Finance
sun-token,sun,Sun Token
curve-dao-token,crv,Curve DAO
decred,dcr,Decred
celestia,tia,Celestia
apenft,nft,AINFT
injective-protocol,inj,Injective
mantra-dao,om,MANTRA [Old]
spx6900,spx,SPX6900
lido-dao,ldo,Lido DAO
bittorrent,btt,BitTorrent
gnosis,gno,Gnosis
bitcoin-cash-sv,bsv,Bitcoin SV
conflux-token,cfx,Conflux
floki,floki,FLOKI
kinesis-silver,kag,Kinesis Silver
doublezero,2z,DoubleZero
kaia,kaia,Kaia
usdai,usdai,USDai
jasmycoin,jasmy,JasmyCoin
crvusd,crvusd,crvUSD
frax,frax,Legacy Frax Dollar
ape-and-pepe,apepe,Ape and Pepe
syrup,syrup,Maple Finance
the-graph,grt,The Graph
optimism,op,Optimism
zebec-network,zbcn,Zebec Network
official-fo,fo,Official FO
kite-2,kite,Kite
pyth-network,pyth,Pyth Network
iota,iota,IOTA
olympus,ohm,Olympus
plasma,xpl,Plasma
terra-luna,lunc,Terra Luna Classic
reallink,real,RealLink
ethereum-name-service,ens,Ethereum Name Service
lighter,lit,Lighter
pendle,pendle,Pendle
compound-governance-token,comp,Compound
pieverse,pieverse,Pieverse
theta-token,theta,Theta Network
ethgas-2,gwei,ETHGas
starknet,strk,Starknet
usda-2,usda,USDa
agora-dollar,ausd,AUSD
the-sandbox,sand,The Sandbox
undeads-games,uds,Undeads Games
fartcoin,fartcoin,Fartcoin
tradable-na-rent-financing-platform-sstn,pc0000031,Tradable NA Rent Financing Platform SSTN
btse-token,btse,BTSE Token
neo,neo,NEO
dogwifcoin,wif,dogwifhat
vision-3,vsn,Vision
telcoin,tel,Telcoin
the9bit,9bit,The9bit
helium,hnt,Helium
genius-3,genius,Genius
grass,grass,Grass
swissborg,borg,SwissBorg
axie-infinity,axs,Axie Infinity
humanity,h,Humanity
apxusd,apxusd,apxUSD
story-2,ip,Story
raydium,ray,Raydium
chain-2,xcn,Onyxcoin
decentraland,mana,Decentraland
falcon-finance-ff,ff,Falcon Finance
wefi,wfi,WeFi
trust-wallet-token,twt,Trust Wallet
asteroid-shiba,asteroid,Asteroid Shiba
nusd-2,nusd,Neutrl USD
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund
re-protocol-reusd,reusd,Re Protocol reUSD
walrus-2,wal,Walrus
skyai,skyai,SkyAI
convex-finance,cvx,Convex Finance
mx-token,mx,MX
tradable-apac-diversified-finance-provider-sstn,pc0000033,Tradable APAC Diversified Finance Provider SSTN
sonic-3,s,Sonic
circle-internet-group-ondo-tokenized-stock,crclon,Circle Internet Group (Ondo Tokenized Stock)
zksync,zk,ZKsync
basic-attention-token,bat,Basic Attention
thorchain,rune,THORChain
satoshi-stablecoin,satusd,Satoshi Stablecoin
safepal,sfp,SafePal
fidelity-digital-interest-token,fdit,Fidelity Digital Interest Token
jito-governance-token,jto,Jito
gala,gala,GALA
newton-project,ab,AB
stasis-eurs,eurs,STASIS EURO
gusd,gusd,GUSD
zano,zano,Zano
immutable-x,imx,Immutable
usa,usat,USAT
centrifuge-2,cfg,Centrifuge
onyc,onyc,Onchain Yield Coin
ecash,xec,eCash
ribbita-by-virtuals,tibbir,Ribbita by Virtuals
frax-usd,frxusd,Frax USD
